Numero,Categoria,Testo domanda,Risposta A,Risposta B,Risposta C,Risposta D,Risposta corretta
112,BLS,Quale è la più grave conseguenza della sindrome di sommersione?,Ipertermia.,Ipotermia.,Ipossia.,Nausea.,C
113,BLS,"Chiamando “A” la verifica della pervietà delle vie aeree, “B” la ventilazione artificiale e “C” il massaggio cardiaco esterno, per le linee guida ILCOR 2010 quale è la corretta sequenza operativa nel caso di infortunato da sommersione?","A, B, C.","A, C, B.","B, C, A.","C, A, B.",A
114,BLS,Quale posizione va fatta assumere all’infortunato vittima di sommersione appena trasportato fuori dall’acqua?,A testa in giù su un’asse inclinata pe praticare la rianimazione.,Verticale a testa in giù per fare uscire l’acqua dai polmoni.,In posizione comoda per fare la manovra di Heimlich e drenare l’acqua dai polmoni.,Orizzontale e in posizione laterale di sicurezza in caso di eventuale rigurgito.,D
115,BLS,Quale è la corretta procedura in merito al defibrillatore semiautomatico esterno (AEin caso di incidente da sommersione?,Non va utilizzato perché la defibrillazione non è necessaria.,Non va utilizzato anche se la defibrillazione è necessaria.,Va utilizzato perché la defibrillazione sarà sicuramente necessaria.,Va utilizzato anche se la defibrillazione sarà probabilmente non necessaria.,D
116,BLS,Per essere considerato ipotermia il raffreddamento del corpo deve avvenire fino a una temperatura corporea interna inferiore a quanti gradi Celsius?,30 °C.,32 °C.,35 °C.,37 °C.,B
117,BLS,Nel caso di ipotermia quale è l’obiettivo del trattamento iniziale attuato dal soccorritore?,Arrestare la dispersione del calore.,Mantenere l’infortunato in acqua.,"Riscaldare subito l’infortunato vicino a una fonte di calore secco (stufa, camino, ecc.).",Sollevare gli arti inferiori dell’infortunato.,A
118,BLS,In quale posizione conviene mantenere un infortunato in ipotermia durante l’operazione di recupero dall’acqua?,Inclinato a testa in giù.,Verticale a testa in su.,Semi seduto.,Orizzontale.,D
119,BLS,Per quante volte è consentita la scarica di defibrillazione su un infortunato in ipotermia severa (cioè con temperatura corporea inferiore a 30 °C)?,1 volta.,2 volte.,3 volte.,4 volte.,C
120,BLS,Per quali delle seguenti situazioni non è necessario chiamare il Servizio di Emergenza Sanitaria?,Sporadici crampi da calore.,Crampi da calore persistenti.,Sincope da calore.,Colpo di calore.,A
121,BLS,Quale fra le seguenti manovre è adatta ad assicurare la pervietà delle vie aeree in caso di infortunato con sospetta lesione cranio-encefalica?,Manovra di Heimlich.,Manovra di iperestensione della testa.,Manovra di protrusione della mandibola.,Tutte le precedenti manovre sono adatte.,C
122,BLS,Quale fra le seguenti azioni va eseguita per prima in caso di infortunato con sospetta lesione cranio-encefalica?,Immobilizzazione manuale della colonna cervicale.,Posizionamento di un collare cervicale.,Rotazione dell’infortunato in posizione supina.,Posizionamento dell’infortunato sulla tavola spinale.,A
123,BLS,In caso di trauma addominale quale fra le seguenti procedure non è corretta e non deve essere applicata?,Iniziare l’ossigenoterapia ad alta concentrazione.,Rimuovere l’oggetto conficcatosi nell’addome.,Applicare una medicazione sterile imbevuta in soluzione fisiologica.,Evitare che l’infortunato assuma liquidi.,B
124,BLS,Quale fra le seguenti azioni non va eseguita in caso di infortunato con frattura di un osso della gamba?,Verificare che le vie aeree siano pervie e la respirazione spontanea.,Verificare che la circolazione sia presente.,Tamponare con medicazioni compressive le emorragie esterne.,Provare a raddrizzare delicatamente l’arto e immobilizzarlo.,D
125,BLS,"Durante la mobilizzazione del traumatizzato quale è la posizione assunta dal soccorritore più esperto, quello che deve coordinare l’azione?","Non tocca l’infortunato, guarda da fuori.",Immobilizza la testa dell’infortunato.,Sorregge i piedi dell’infortunato.,Al fianco dell’infortunato.,B
126,BLS,Quale fra i seguenti barotraumi richiede l’urgente ricompressione in camera iperbarica?,Baurotrauma dell’orecchio.,Baurotrauma facciale,Sovradistensione polmonare.,Barotraumi con rottura del tessuto polmonare.,D
127,BLS,"Quale attrezzatura subacquea dovrebbe accompagnare, fino alla camera iperbarica, un subacqueo che abbia subito una patologia da decompressione?",La maschera.,L’erogatore.,Il computer subacqueo.,La muta.,C
128,BLS,Quali fenomeni possono provocare la sincope nell’apneista sportivo?,Forzare i tempi di permanenza sul fondo.,Effettuare una iperventilazione prolungata prima della discesa.,Il fenomeno fisiologico del “diving reflex”.,Tutte le risposte precedenti sono esatte.,D
129,BLS,Quale fra le seguenti azioni va eseguita in caso di puntura di trachino (o tracina)?,Immergere immediatamente la parte colpita in acqua molto calda.,Immergere immediatamente la parte colpita in acqua fredda.,Immergere dopo circa 30 minuti la parte colpita in acqua molto calda.,Immergere dopo circa 30 minuti la parte colpita in acqua fredda.,A
130,BLS,Per le punture di quali animali è consigliata un’applicazione di acido acetico al 4-6% sulla parte lesa?,Trigoni.,Trachini.,Meduse.,Ricci.,C
